prompt,chosen,rejected
"Представь, что ты работаешь в автосервисе. Ты высокооплачиваемый и очень опытный специалист. Тебе необходимо по описанию определить: пользователь пишет о поломке/неисправности автомобиля или нет.Если описывается поломка или неисправность, то надо указать, к какой категории она относится из перечисленных: [система впрыска, топливная система, система зажигания, система смазки, кривошипно-шатунный механизм, система охлаждения, выпускная система, сцепление, коробка передач, газораспределительный механизм, подвеска, рулевое управление, тормозная система, электрооборудование, системы отопления и кондиционирования]. Если ни о какой поломке/неисправности не сказано, то необходимо в ответе указать: неисправность отсутствует. Подумай хорошо, прежде чем дать правильный ответ, так как от этого зависит, выплатят тебе премию или нет. Ответ должен быть на русском языке и должен содержать только одно название категории неисправности из указанных выше или же фразу неисправность отсутствует. Ничего больше в твоем ответе быть не должно, только одно предложение, если напишешь больше, то будешь лишен зарплаты. Если неправильно определишь проблему, то будешь уволен. Текстовое описание: Добрый день. Листал как то Яндекс маркет и наткнулся на комплект колонок в центральную часть торпеды, на самом деле музыка в бмв так себе в моей комплектации. Не хватает ВЧ, заказал( шли из за рубежа) на алике цена на 800 рублей меньше. Но не стал там заказывать. Заказал на Яндексе. Пришло за 8 вроде дней. Искал на драйве кто как ставит, не стал заморачиваться, искать колонки в общем жгуте, просто взял достал ГУ и подпитал провод из комплекта к одному из выходов, кто то на драйве писал что будет черно-коричневый и черно-белый. К ним и подцепился. Родная фишка осталась на месте. Вроде ВЧ появились чуть чуть.",неисправность отсутствует.,система впрыска
"Представь, что ты работаешь в автосервисе. Ты высокооплачиваемый и очень опытный специалист. Тебе необходимо по описанию определить: пользователь пишет о поломке/неисправности автомобиля или нет.Если описывается поломка или неисправность, то надо указать, к какой категории она относится из перечисленных: [система впрыска, топливная система, система зажигания, система смазки, кривошипно-шатунный механизм, система охлаждения, выпускная система, сцепление, коробка передач, газораспределительный механизм, подвеска, рулевое управление, тормозная система, электрооборудование, системы отопления и кондиционирования]. Если ни о какой поломке/неисправности не сказано, то необходимо в ответе указать: неисправность отсутствует. Подумай хорошо, прежде чем дать правильный ответ, так как от этого зависит, выплатят тебе премию или нет. Ответ должен быть на русском языке и должен содержать только одно название категории неисправности из указанных выше или же фразу неисправность отсутствует. Ничего больше в твоем ответе быть не должно, только одно предложение, если напишешь больше, то будешь лишен зарплаты. Если неправильно определишь проблему, то будешь уволен. Текстовое описание: Так, ну я, в общем, всего месяц не думал о машине, приехал ее проведать, прокатился по паркингу.
И после этих 100 метров я снова отдал 30 тысяч на запчасти🤣
Итак, что было заказано на этот раз:
1) Радиатор Mahle CR239000S
2) Воздуховоды охлаждения тормозов 51712233362, 51712233361
3) Треугольники бампера 51711977118, 51711977117
4) Новые защелки радиатора, посадочные резинки и опоры под них 17201719414, 17111178412, 17111723341
5) Резинка радиатора 17101712609
6) Пистоны, держащие кожух вентилятора 17111712963
7) Шланг от блока к клапанам печки и хомутик 64211394293, 07129952113
8) Пластик вокруг ноздрей 51718156247, 51718156248
9) Пыльник мотора 51718156259
10) Новое жабо 51711960843, 51711960844
11) Кнопки креплений жабо 2 штучки 51718153561
12) Кучка болтов, которые это все будут крепить 07119901299, 07129904150, 07146976114
Не удержался и сразу поехал ставить воздуховоды тормозов🤣
А зачем это все? Да просто хочется, чтоб все было на месте и не было видно асфальт через решетку бампера. А еще я люблю держать подкапотку в чистоте и с пыльниками чистить ее придется кратно меньше🤣
Еще хотел сказать такой момент, что мной были уже давно куплены уплотнители дверей б/у в хорошем состоянии.
Если вдруг кто-то хочет, как я, ставить уплотнители от ваза, начитавшись бортовиков, что там они ровно такие же, как у бмв, то, прошу вас, не делайте этого🤣
При первых же сильных ветрах машина превращается в свисток на колесах. Скоро заменим)
А еще была заказана плата хоумлинка для фаршированного зеркала, которое лежит у Анатолия (цз с ключа, компас, хоумлинк, авто затемнение). Прям уже хочется весну и отдать ее на электрику, благо записался еще с пол года назад🤣
На связи🤙",неисправность отсутствует.,сцепление
"Представь, что ты работаешь в автосервисе. Ты высокооплачиваемый и очень опытный специалист. Тебе необходимо по описанию определить: пользователь пишет о поломке/неисправности автомобиля или нет.Если описывается поломка или неисправность, то надо указать, к какой категории она относится из перечисленных: [система впрыска, топливная система, система зажигания, система смазки, кривошипно-шатунный механизм, система охлаждения, выпускная система, сцепление, коробка передач, газораспределительный механизм, подвеска, рулевое управление, тормозная система, электрооборудование, системы отопления и кондиционирования]. Если ни о какой поломке/неисправности не сказано, то необходимо в ответе указать: неисправность отсутствует. Подумай хорошо, прежде чем дать правильный ответ, так как от этого зависит, выплатят тебе премию или нет. Ответ должен быть на русском языке и должен содержать только одно название категории неисправности из указанных выше или же фразу неисправность отсутствует. Ничего больше в твоем ответе быть не должно, только одно предложение, если напишешь больше, то будешь лишен зарплаты. Если неправильно определишь проблему, то будешь уволен. Текстовое описание: Пришла посылка, пока думаем, что с ней делать",неисправность отсутствует.,электрооборудование
"Представь, что ты работаешь в автосервисе. Ты высокооплачиваемый и очень опытный специалист. Тебе необходимо по описанию определить: пользователь пишет о поломке/неисправности автомобиля или нет.Если описывается поломка или неисправность, то надо указать, к какой категории она относится из перечисленных: [система впрыска, топливная система, система зажигания, система смазки, кривошипно-шатунный механизм, система охлаждения, выпускная система, сцепление, коробка передач, газораспределительный механизм, подвеска, рулевое управление, тормозная система, электрооборудование, системы отопления и кондиционирования]. Если ни о какой поломке/неисправности не сказано, то необходимо в ответе указать: неисправность отсутствует. Подумай хорошо, прежде чем дать правильный ответ, так как от этого зависит, выплатят тебе премию или нет. Ответ должен быть на русском языке и должен содержать только одно название категории неисправности из указанных выше или же фразу неисправность отсутствует. Ничего больше в твоем ответе быть не должно, только одно предложение, если напишешь больше, то будешь лишен зарплаты. Если неправильно определишь проблему, то будешь уволен. Текстовое описание: Нашел человека который сделает pappel natur
Потом поехал тарить в ходовку…
Заменены:
Подушки мотора
Интегралы
Плавающие шары сзади
Сайленты Н образов(полиуретан точка опоры)
Установлены задние распорки (челябинские)
Снова сход развал по другим параметрам, параметры кинул romano67 за что отдельное 🙏🏼 спасибо
По итогу:
Вставки салона в работе
Машина на дороге стала уверенной как никогда
Не рыскает в поисках колеи как минимум
Всем добра!
По традиции фоточки лень подбивать🙃",неисправность отсутствует.,системы отопления и кондиционирования
"Представь, что ты работаешь в автосервисе. Ты высокооплачиваемый и очень опытный специалист. Тебе необходимо по описанию определить: пользователь пишет о поломке/неисправности автомобиля или нет.Если описывается поломка или неисправность, то надо указать, к какой категории она относится из перечисленных: [система впрыска, топливная система, система зажигания, система смазки, кривошипно-шатунный механизм, система охлаждения, выпускная система, сцепление, коробка передач, газораспределительный механизм, подвеска, рулевое управление, тормозная система, электрооборудование, системы отопления и кондиционирования]. Если ни о какой поломке/неисправности не сказано, то необходимо в ответе указать: неисправность отсутствует. Подумай хорошо, прежде чем дать правильный ответ, так как от этого зависит, выплатят тебе премию или нет. Ответ должен быть на русском языке и должен содержать только одно название категории неисправности из указанных выше или же фразу неисправность отсутствует. Ничего больше в твоем ответе быть не должно, только одно предложение, если напишешь больше, то будешь лишен зарплаты. Если неправильно определишь проблему, то будешь уволен. Текстовое описание: Народ ✌️ всем привет, с прошедшими всех праздниками ) 🎄
Есть вопросик на повестки дня ) Имел ли кто нибудь опыт с ПТФ где стоит би лед линза, думаю прикупить такие, думаю как доп ближний было бы не плохо 😁 все равно от штатных туманок толку вообще нету ⛔
Приветствую любые комментарии 🤝
Просто разбирать фары не хочется что бы туда лед линзы запихивать 😅 да и щас вроде как будут нахлобучивать за леды, так что пусть заводской ксенон ) а тут вроде и выглядит нормально и линза хорошая с стг и еще доп дальний будет и если что легко демонтировать что бы вернуть в сток, нооо кстати хочется отметить что в каталоге е39 есть дооснащение ксеноновыми фарами дальнего света вместо птф по заводу с линзой ) не разу не встречал такого в живую в е39, но в каталоге есть ) в е46 видел раз в живую )",неисправность отсутствует.,системы отопления и кондиционирования
"Представь, что ты работаешь в автосервисе. Ты высокооплачиваемый и очень опытный специалист. Тебе необходимо по описанию определить: пользователь пишет о поломке/неисправности автомобиля или нет.Если описывается поломка или неисправность, то надо указать, к какой категории она относится из перечисленных: [система впрыска, топливная система, система зажигания, система смазки, кривошипно-шатунный механизм, система охлаждения, выпускная система, сцепление, коробка передач, газораспределительный механизм, подвеска, рулевое управление, тормозная система, электрооборудование, системы отопления и кондиционирования]. Если ни о какой поломке/неисправности не сказано, то необходимо в ответе указать: неисправность отсутствует. Подумай хорошо, прежде чем дать правильный ответ, так как от этого зависит, выплатят тебе премию или нет. Ответ должен быть на русском языке и должен содержать только одно название категории неисправности из указанных выше или же фразу неисправность отсутствует. Ничего больше в твоем ответе быть не должно, только одно предложение, если напишешь больше, то будешь лишен зарплаты. Если неправильно определишь проблему, то будешь уволен. Текстовое описание: Продолжаю приваривать морду, много мелочей вылазиет в процессе, но делаю как могу.
Накинул усы с телеком, крылья и капот. Вроде более менее ровно получается.",неисправность отсутствует.,рулевое управление
"Представь, что ты работаешь в автосервисе. Ты высокооплачиваемый и очень опытный специалист. Тебе необходимо по описанию определить: пользователь пишет о поломке/неисправности автомобиля или нет.Если описывается поломка или неисправность, то надо указать, к какой категории она относится из перечисленных: [система впрыска, топливная система, система зажигания, система смазки, кривошипно-шатунный механизм, система охлаждения, выпускная система, сцепление, коробка передач, газораспределительный механизм, подвеска, рулевое управление, тормозная система, электрооборудование, системы отопления и кондиционирования]. Если ни о какой поломке/неисправности не сказано, то необходимо в ответе указать: неисправность отсутствует. Подумай хорошо, прежде чем дать правильный ответ, так как от этого зависит, выплатят тебе премию или нет. Ответ должен быть на русском языке и должен содержать только одно название категории неисправности из указанных выше или же фразу неисправность отсутствует. Ничего больше в твоем ответе быть не должно, только одно предложение, если напишешь больше, то будешь лишен зарплаты. Если неправильно определишь проблему, то будешь уволен. Текстовое описание: Всем привет !
Заранее хочу поблагодарить, кто откликнулся на довольно банальную тему баллонов .
А именно дали советы и поделились личным опытом .
95% одноклубников отдали голос за замену подушек парой
А какие, разницы особо нет, так как общее мнение примерно такое :
Что оригинал, что аналог, ходят примерно одинаково ( 60-80 тысяч километров )
Почитав бортжурнал прежнего хозяина stonecity
Память освежилась!
Пробег у меня сейчас 147.000.
Левый баллон меняли по гарантии на 60 тысячах на оригинал ( он как раз и упал, т.е прожил он почти 90 тысяч )
Тут видно
Правый, меняли на 106 тысячах ( подушка неоригинальная, название SV-PARTS) и проехала он без малого 41 тысячу и была живая, что неплохо )
Кстати пока ждал очередь и на машине не ездил, стояла на паркинге ( подземка ) и баллон не спускал, наверное спустил на холоде из-за сужения .
Спит
Итак, после изучения куда ехать, выбор пал на PNEVMO PRO
Почему выбрал их ?
Все очень просто, меня устроил тот факт, что дают гарантию 2 года, считаю, этого более чем достаточно !
Да и цена после звонка приятно удивила
— две оригинальные восстановленные подушки 26.800 под ключ .
Едем .
В клиентской зоне
Несмотря на захламление клиентской зоны, впечатления приятные, очень приятные менеджеры .
Все спросили, что как и почему
Предложили диагностику перед заменой, ок говорю я )
Заезжаем и поднимаем
Мастер взял мыльный раствор и полил левый баллон, на который я жаловался, что машина присела на эту сторону
Травит, чуть чуть но травит ! Видно было по пене
Пару фото
И другой
Правый не травит, но уже на подходе .
Ехал изначально менять оба, поэтому даже не думал
-замена
Оригинальная подушка 87к проехала
Аналог проехал 41к и была живой
По фото видим отличия, по весу они идентичны, думал кстати что весят они побольше, они совсем как пушинки .
Новые подушки
Новые подушки 2
Работа .
Вообщем отделался совсем малой кровью
Думал, совсем другие деньги придется отдавать .
При покупке авто, мой подборщик сразу сказал, что баллоны готовься менять, вообщем так и произошло спустя 16к километров .
Итог : все сделали быстро, дали чеки, гарантийный талон на 2 года
Талон
Цена вопроса 28.800
2 тысячи взяли за диагностику ( в конце еще была компьютерная ) все датчики в норме, машина откалибровалась в допуск
Едем дальше !
Все ровных дорог !
И еще раз спасибо за обратную связь, благодаря вам кошелек остался целым )
На месте",подвеска,Неисправность отсутствует.
"Представь, что ты работаешь в автосервисе. Ты высокооплачиваемый и очень опытный специалист. Тебе необходимо по описанию определить: пользователь пишет о поломке/неисправности автомобиля или нет.Если описывается поломка или неисправность, то надо указать, к какой категории она относится из перечисленных: [система впрыска, топливная система, система зажигания, система смазки, кривошипно-шатунный механизм, система охлаждения, выпускная система, сцепление, коробка передач, газораспределительный механизм, подвеска, рулевое управление, тормозная система, электрооборудование, системы отопления и кондиционирования]. Если ни о какой поломке/неисправности не сказано, то необходимо в ответе указать: неисправность отсутствует. Подумай хорошо, прежде чем дать правильный ответ, так как от этого зависит, выплатят тебе премию или нет. Ответ должен быть на русском языке и должен содержать только одно название категории неисправности из указанных выше или же фразу неисправность отсутствует. Ничего больше в твоем ответе быть не должно, только одно предложение, если напишешь больше, то будешь лишен зарплаты. Если неправильно определишь проблему, то будешь уволен. Текстовое описание: Господа, пара вопросов:
Что за синий разьем в багажнике в нише справа?
вот этот
2) Щас стоит магнитолла Teyes CC2 Pro, какую посоветуете, чтобы была лучше этой?
3) В машину можно подключить яндекс алису?",неисправность отсутствует.,тормозная система
"Представь, что ты работаешь в автосервисе. Ты высокооплачиваемый и очень опытный специалист. Тебе необходимо по описанию определить: пользователь пишет о поломке/неисправности автомобиля или нет.Если описывается поломка или неисправность, то надо указать, к какой категории она относится из перечисленных: [система впрыска, топливная система, система зажигания, система смазки, кривошипно-шатунный механизм, система охлаждения, выпускная система, сцепление, коробка передач, газораспределительный механизм, подвеска, рулевое управление, тормозная система, электрооборудование, системы отопления и кондиционирования]. Если ни о какой поломке/неисправности не сказано, то необходимо в ответе указать: неисправность отсутствует. Подумай хорошо, прежде чем дать правильный ответ, так как от этого зависит, выплатят тебе премию или нет. Ответ должен быть на русском языке и должен содержать только одно название категории неисправности из указанных выше или же фразу неисправность отсутствует. Ничего больше в твоем ответе быть не должно, только одно предложение, если напишешь больше, то будешь лишен зарплаты. Если неправильно определишь проблему, то будешь уволен. Текстовое описание: Всем привет👋
Запись больше для себя и истории авто. Как и говорил в прошлом БЖ- решетки были приклеены на супер клей🤦🏼 Поехал к малярам. Как оказалось — супер клей это часть того, на что они были приклеены. Там и поксипол, и термоклей с содой, и супер клей, естественно 🤬 Дрочился маляр час точно, возможно и полтора. Но эту всю шляпу оттер.
Еще до этого посещения я купил новые решетки, черный глянец. Думал с закатанными стеклами и шадоулацн будет смотреться хорошо… Но плену у снял и насмотрелся на другие е38 с хром ноздрями. Сильно понравился вид. Короче купил еще хром. Теперь и на этом авто у меня два комплекта ноздрей — хром и черный глянец. Можно каждую неделю менять😂
Капот, после откачивания клея поллирнули, на какое-то время этого вполне хватит. С хром ноздрями мне вид очень нравится. Фоток мало, т.к. было холодно и было не до фотографий🤷‍♂️
Всем мирного времени 😎✌️",неисправность отсутствует.,коробка передач
"Представь, что ты работаешь в автосервисе. Ты высокооплачиваемый и очень опытный специалист. Тебе необходимо по описанию определить: пользователь пишет о поломке/неисправности автомобиля или нет.Если описывается поломка или неисправность, то надо указать, к какой категории она относится из перечисленных: [система впрыска, топливная система, система зажигания, система смазки, кривошипно-шатунный механизм, система охлаждения, выпускная система, сцепление, коробка передач, газораспределительный механизм, подвеска, рулевое управление, тормозная система, электрооборудование, системы отопления и кондиционирования]. Если ни о какой поломке/неисправности не сказано, то необходимо в ответе указать: неисправность отсутствует. Подумай хорошо, прежде чем дать правильный ответ, так как от этого зависит, выплатят тебе премию или нет. Ответ должен быть на русском языке и должен содержать только одно название категории неисправности из указанных выше или же фразу неисправность отсутствует. Ничего больше в твоем ответе быть не должно, только одно предложение, если напишешь больше, то будешь лишен зарплаты. Если неправильно определишь проблему, то будешь уволен. Текстовое описание: Бумер-тормоз все еще не ездит.
Первая часть здесь:
www.drive2.ru/l/695019168…age=0#a695273979874659740
Поставил новые тормозные шланги, прокачал — без изменений. Тормоза не отпускают.
Шланги поменял не зря. Но проблему это не решило. Причина клина не в них.
Новые шланги АТЕ на месте
Видно, что ГТЦ менялся совсем недавно
Я не знаю куда дальше копать.",тормозная система,Кривошипно-шатунный механизм.
